# Task	Agent	Seed	Alpha	Discount	RWSSubdir	RWSEpoch	ReachWeighting	ExtraArgs
antmaze-large-navigate-v0	gcivl	4	10.0	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gciql	0	0.3	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gciql	1	0.3	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gciql	2	0.3	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gciql	3	0.3	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gciql	4	0.3	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	hiql	0	-	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-navigate-v0	hiql	1	-	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-navigate-v0	hiql	2	-	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-navigate-v0	hiql	3	-	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-navigate-v0	hiql	4	-	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-stitch-v0	gcivl	0	10.0	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gcivl	1	10.0	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gcivl	2	10.0	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gcivl	3	10.0	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gcivl	4	10.0	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gciql	0	0.3	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gciql	1	0.3	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gciql	2	0.3	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gciql	3	0.3	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	gciql	4	0.3	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	-
antmaze-large-stitch-v0	hiql	0	-	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-stitch-v0	hiql	1	-	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-stitch-v0	hiql	2	-	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-stitch-v0	hiql	3	-	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-stitch-v0	hiql	4	-	0.99	sd042_s_12899665.0.20251028_190125	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-explore-v0	gcivl	0	10.0	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gcivl	1	10.0	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gcivl	2	10.0	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gcivl	3	10.0	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gcivl	4	10.0	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gciql	0	0.01	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gciql	1	0.01	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gciql	2	0.01	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gciql	3	0.01	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	gciql	4	0.01	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	-
antmaze-medium-explore-v0	hiql	0	-	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-medium-explore-v0	hiql	1	-	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-medium-explore-v0	hiql	2	-	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-medium-explore-v0	hiql	3	-	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-medium-explore-v0	hiql	4	-	0.99	sd042_s_12900041.0.20251028_193120	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-medium-navigate-v0	gcivl	0	10.0	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gcivl	1	10.0	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gcivl	2	10.0	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gcivl	3	10.0	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gcivl	4	10.0	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gciql	0	0.3	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gciql	1	0.3	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gciql	2	0.3	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gciql	3	0.3	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	gciql	4	0.3	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	-
antmaze-medium-navigate-v0	hiql	0	-	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-navigate-v0	hiql	1	-	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-navigate-v0	hiql	2	-	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-navigate-v0	hiql	3	-	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-navigate-v0	hiql	4	-	0.99	sd042_s_12899477.0.20251028_185233	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-stitch-v0	gcivl	0	10.0	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gcivl	1	10.0	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gcivl	2	10.0	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gcivl	3	10.0	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gcivl	4	10.0	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gciql	0	0.3	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gciql	1	0.3	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gciql	2	0.3	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gciql	3	0.3	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	gciql	4	0.3	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	-
antmaze-medium-stitch-v0	hiql	0	-	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-stitch-v0	hiql	1	-	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-stitch-v0	hiql	2	-	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-stitch-v0	hiql	3	-	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-medium-stitch-v0	hiql	4	-	0.99	sd042_s_12899656.0.20251028_190020	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-explore-v0	gcivl	0	10.0	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gcivl	1	10.0	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gcivl	2	10.0	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gcivl	3	10.0	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gcivl	4	10.0	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gciql	0	0.01	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gciql	1	0.01	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gciql	2	0.01	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gciql	3	0.01	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	gciql	4	0.01	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	-
antmaze-teleport-explore-v0	hiql	0	-	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-teleport-explore-v0	hiql	1	-	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-teleport-explore-v0	hiql	2	-	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-teleport-explore-v0	hiql	3	-	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-teleport-explore-v0	hiql	4	-	0.99	sd042_s_12900050.0.20251028_193348	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-teleport-navigate-v0	gcivl	0	10.0	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gcivl	1	10.0	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gcivl	2	10.0	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gcivl	3	10.0	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gcivl	4	10.0	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gciql	0	0.3	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gciql	1	0.3	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gciql	2	0.3	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gciql	3	0.3	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	gciql	4	0.3	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	-
antmaze-teleport-navigate-v0	hiql	0	-	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-navigate-v0	hiql	1	-	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-navigate-v0	hiql	2	-	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-navigate-v0	hiql	3	-	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-navigate-v0	hiql	4	-	0.99	sd042_s_12899556.0.20251028_185628	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-stitch-v0	gcivl	0	10.0	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gcivl	1	10.0	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gcivl	2	10.0	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gcivl	3	10.0	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gcivl	4	10.0	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gciql	0	0.3	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gciql	1	0.3	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gciql	2	0.3	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gciql	3	0.3	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	gciql	4	0.3	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	-
antmaze-teleport-stitch-v0	hiql	0	-	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-stitch-v0	hiql	1	-	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-stitch-v0	hiql	2	-	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-stitch-v0	hiql	3	-	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-teleport-stitch-v0	hiql	4	-	0.99	sd042_s_12899961.0.20251028_192953	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
humanoidmaze-giant-navigate-v0	gcivl	0	10.0	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gcivl	1	10.0	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gcivl	2	10.0	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gcivl	3	10.0	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gcivl	4	10.0	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gciql	0	0.1	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gciql	1	0.1	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gciql	2	0.1	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gciql	3	0.1	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	gciql	4	0.1	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	-
humanoidmaze-giant-navigate-v0	hiql	0	-	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-giant-navigate-v0	hiql	1	-	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-giant-navigate-v0	hiql	2	-	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-giant-navigate-v0	hiql	3	-	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-giant-navigate-v0	hiql	4	-	0.995	sd042_s_12900163.0.20251028_195115	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-navigate-v0	gcivl	0	10.0	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gcivl	1	10.0	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gcivl	2	10.0	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gcivl	3	10.0	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gcivl	4	10.0	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gciql	0	0.1	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gciql	1	0.1	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gciql	2	0.1	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gciql	3	0.1	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	gciql	4	0.1	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	-
humanoidmaze-large-navigate-v0	hiql	0	-	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-navigate-v0	hiql	1	-	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-navigate-v0	hiql	2	-	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-navigate-v0	hiql	3	-	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-navigate-v0	hiql	4	-	0.995	sd042_s_12900070.0.20251028_193712	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-stitch-v0	gcivl	0	10.0	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gcivl	1	10.0	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gcivl	2	10.0	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gcivl	3	10.0	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gcivl	4	10.0	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gciql	0	0.1	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gciql	1	0.1	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gciql	2	0.1	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gciql	3	0.1	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	gciql	4	0.1	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	-
humanoidmaze-large-stitch-v0	hiql	0	-	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-stitch-v0	hiql	1	-	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-stitch-v0	hiql	2	-	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-stitch-v0	hiql	3	-	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-large-stitch-v0	hiql	4	-	0.995	sd042_s_12900260.0.20251028_201003	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0 --agent.subgoal_steps=100
humanoidmaze-medium-navigate-v0	gcivl	0	10.0	0.995	sd042_s_12900064.0.20251028_193628	400000	adv	-
